Epoch,bhp_data,bhp_sim
1,0.06414959,0.06396152
2,0.06255244,0.061810765
3,0.059351124,0.057153627
4,0.05281403,0.046573848
5,0.0418207,0.03529275
6,0.038625594,0.038045157
7,0.09466844,0.03698686
8,0.12000947,0.034247637
9,0.13887289,0.033574667
10,0.15427344,0.03290964
11,0.14479864,0.03167264
12,0.13577709,0.030581554
13,0.13414712,0.02977913
14,0.12892663,0.028482575
15,0.121019445,0.028447917
16,0.116723694,0.026978154
17,0.10891592,0.02614694
18,0.10772141,0.025670704
19,0.10224163,0.024351567
20,0.10734522,0.0242208
21,0.10328564,0.023207612
22,0.09814307,0.022501694
23,0.10472061,0.0224245
24,0.10053682,0.021638047
25,0.10574543,0.021084972
26,0.104732856,0.0205682
27,0.104945704,0.02015015
28,0.10629809,0.019743616
29,0.10097788,0.019182323
30,0.098850794,0.018575488
31,0.099382564,0.018286893
32,0.094094746,0.017915776
33,0.093293995,0.01724033
34,0.08707684,0.016834894
35,0.0880779,0.016420217
36,0.08492575,0.016363155
37,0.081851885,0.015599364
38,0.0820278,0.015760629
39,0.08132617,0.015567277
40,0.077960804,0.015336518
41,0.076056674,0.015159357
42,0.0751361,0.014877043
43,0.072088994,0.01476311
44,0.07085903,0.014682871
45,0.07171492,0.014459714
46,0.071606755,0.014353306
47,0.06938109,0.014197755
48,0.07063334,0.014022521
49,0.06926946,0.013907074
50,0.065595336,0.013538502
51,0.066827275,0.013704921
52,0.06605441,0.013603161
53,0.06309028,0.013499415
54,0.06509291,0.013267535
55,0.06211386,0.013291989
56,0.060361076,0.013198288
57,0.060926784,0.013025565
58,0.059444312,0.012999075
59,0.05968829,0.012981569
60,0.057023022,0.012908977
61,0.05924409,0.012840173
62,0.056831658,0.012698461
63,0.055461608,0.012743635
64,0.054768723,0.01268305
65,0.057062037,0.012736046
66,0.052414797,0.012485589
67,0.051594403,0.01244149
68,0.051407304,0.012332208
69,0.049326636,0.012302603
70,0.048289068,0.012254673
71,0.04741992,0.012205342
72,0.04586931,0.0120919
73,0.042949192,0.011999553
74,0.04433011,0.011930035
75,0.043630295,0.011900189
76,0.041264817,0.011831575
77,0.040840063,0.011783815
78,0.038174365,0.011628903
79,0.038168956,0.011583194
80,0.03600348,0.011352234
81,0.036184475,0.011402344
82,0.035300266,0.011300828
83,0.03163232,0.011075013
84,0.032427497,0.011136103
85,0.03312547,0.011043686
86,0.031068362,0.010887815
87,0.031219818,0.010867382
88,0.030383479,0.010826173
89,0.030491399,0.010673887
90,0.028597206,0.010508038
91,0.029428938,0.010514405
92,0.02846817,0.010437757
93,0.028077852,0.0103093
94,0.02771777,0.01015369
95,0.028085891,0.010127819
96,0.027519822,0.010082163
97,0.027253954,0.00997403
98,0.02740957,0.009892744
99,0.027465818,0.009824568
100,0.027377531,0.009758434
101,0.02756049,0.00977699
102,0.028340375,0.009805879
103,0.028439136,0.00972583
104,0.028402736,0.009729395
105,0.027800243,0.00971323
106,0.02906478,0.009782634
107,0.029481476,0.009814902
108,0.029998885,0.00986147
109,0.030723745,0.009855635
110,0.030760422,0.009951505
111,0.03161249,0.009999082
112,0.031790506,0.010082014
113,0.03196388,0.010048795
114,0.032596573,0.010096873
115,0.032571528,0.010222232
116,0.032938894,0.010233366
117,0.032674775,0.010239323
118,0.033240378,0.01028324
119,0.033704605,0.01039268
120,0.033542234,0.010388984
121,0.033714015,0.010480669
122,0.034010023,0.010526311
123,0.03324124,0.010465192
124,0.033666607,0.010573799
125,0.034392606,0.010560158
126,0.03395707,0.010664189
127,0.034055825,0.010744379
128,0.033591285,0.010602323
129,0.0350336,0.010690915
130,0.034788854,0.010705156
131,0.03476071,0.010772521
132,0.0344468,0.010797873
133,0.03426762,0.010690267
134,0.03517389,0.010818264
135,0.034607466,0.010734207
136,0.035469037,0.010904696
137,0.034414146,0.010899857
138,0.03485414,0.011003477
139,0.034667145,0.011003424
140,0.03524049,0.011052066
141,0.034644324,0.011090067
142,0.034467164,0.011011765
143,0.034391303,0.011088317
144,0.03472429,0.011148426
145,0.034485754,0.011181758
146,0.03440099,0.011308037
147,0.034294456,0.011246323
148,0.034226887,0.011301016
149,0.033690263,0.011404451
150,0.034216225,0.01152081
151,0.03430052,0.011538769
152,0.033600073,0.011416783
153,0.033328507,0.011291206
154,0.034325507,0.011554258
155,0.033537,0.011599166
156,0.033508323,0.011405638
157,0.033490207,0.011567989
158,0.03287341,0.011403582
159,0.03321845,0.011570063
160,0.033302676,0.011462625
161,0.03308172,0.011586334
162,0.033749748,0.01148455
163,0.033317037,0.0115848
164,0.033319235,0.011422737
165,0.03320852,0.01150138
166,0.03304953,0.011504233
167,0.03311033,0.011578267
168,0.033196144,0.011454638
169,0.03281691,0.011423486
170,0.03293752,0.011314471
171,0.033289384,0.011403482
172,0.033002038,0.011454674
173,0.03338173,0.011387803
174,0.033334486,0.011390549
175,0.03318366,0.011332173
176,0.03354625,0.011542294
177,0.032348316,0.011157936
178,0.032995835,0.011297234
179,0.033380337,0.011267412
180,0.032995705,0.011190783
181,0.032411493,0.010929058
182,0.032963112,0.011188037
183,0.033362776,0.011007149
184,0.032712232,0.011021261
185,0.031926747,0.010866178
186,0.032889664,0.010788253
187,0.032600433,0.010907252
188,0.032157406,0.010775558
189,0.032140184,0.010579914
190,0.032279994,0.010718667
191,0.032468457,0.010586542
192,0.031972475,0.010534722
193,0.03223576,0.010449343
194,0.03222363,0.010390809
195,0.030877333,0.010318805
196,0.03192471,0.010342415
197,0.031133125,0.010122175
198,0.03185126,0.010213232
199,0.030910244,0.010079877
200,0.03082698,0.009853933
201,0.031213647,0.010030276
202,0.031489313,0.00995231
203,0.031015923,0.009892805
204,0.030749187,0.009790533
205,0.030690912,0.009809982
206,0.03029274,0.009698996
207,0.030360408,0.009666103
208,0.029925957,0.009640495
209,0.03000191,0.00959019
210,0.029728986,0.009475617
211,0.0301487,0.0095355
212,0.028679688,0.009408382
213,0.028960176,0.009429649
214,0.028962845,0.009422205
215,0.02861262,0.009319744
216,0.028570741,0.009290204
217,0.028201394,0.009246882
218,0.028075803,0.009141485
219,0.027913373,0.009226773
220,0.028156828,0.00922316
221,0.027228119,0.009087971
222,0.028120577,0.009066836
223,0.027549895,0.009072967
224,0.02723705,0.009034921
225,0.027032953,0.009000808
226,0.027295701,0.009001565
227,0.027024781,0.0089192
228,0.027184356,0.008948689
229,0.02668551,0.008925091
230,0.026790505,0.008865484
231,0.026549071,0.008811302
232,0.02625822,0.008796026
233,0.025836734,0.008783016
234,0.026610741,0.008804402
235,0.025981205,0.00877664
236,0.026330844,0.008685357
237,0.026031913,0.008771082
238,0.02595341,0.008729355
239,0.025759598,0.008664698
240,0.025829861,0.008822836
241,0.025615174,0.008738977
242,0.025143955,0.008655911
243,0.025198758,0.00866742
244,0.025620762,0.008714201
245,0.024908999,0.008737022
246,0.02532598,0.00873561
247,0.024561835,0.00867761
248,0.024663083,0.008671577
249,0.024959477,0.008679094
250,0.02422393,0.008549166
251,0.024675947,0.008643198
252,0.024250261,0.008643855
253,0.024038415,0.008611495
254,0.024278443,0.008614015
255,0.024139566,0.00854571
256,0.024310447,0.008669257
257,0.02368365,0.008605401
258,0.023788271,0.008630588
259,0.023933306,0.008662856
260,0.02371424,0.00862577
261,0.02369401,0.008636166
262,0.023655204,0.008668759
263,0.023403073,0.008676725
264,0.023657015,0.008738596
265,0.023234759,0.008672232
266,0.02353002,0.008757263
267,0.022840872,0.008620568
268,0.023152808,0.008771395
269,0.023273492,0.008763019
270,0.022935377,0.008729138
271,0.023237852,0.008740816
272,0.022890097,0.008767307
273,0.023175783,0.008781498
274,0.023083117,0.008724332
275,0.022936637,0.008750517
276,0.022892632,0.008731093
277,0.023100855,0.008779524
278,0.02273356,0.008776415
279,0.023180595,0.008765862
280,0.022605114,0.008761041
281,0.023085972,0.008726386
282,0.022583414,0.008831177
283,0.022512805,0.00874227
284,0.02299194,0.008694153
285,0.022831384,0.008688287
286,0.022978736,0.00880783
287,0.02283691,0.008665365
288,0.022422219,0.008661667
289,0.022866884,0.008636314
290,0.022613743,0.00868118
291,0.022500144,0.008539006
292,0.022720732,0.008547675
293,0.0223736,0.008577558
294,0.022263536,0.008560054
295,0.022160176,0.008524233
296,0.022242898,0.008527836
297,0.022408962,0.008547021
298,0.02222138,0.008533003
299,0.02210949,0.008524432
300,0.022194196,0.008400977
301,0.022020863,0.008377897
302,0.022060078,0.008474771
303,0.022061385,0.008426812
304,0.022106975,0.008391986
305,0.02233417,0.008368698
306,0.0215391,0.008310556
307,0.021980897,0.008312735
308,0.021913072,0.0083156
309,0.021650763,0.008237863
310,0.021602495,0.008237894
311,0.021706449,0.008336955
312,0.021971308,0.008270687
313,0.021475073,0.00825591
314,0.021915669,0.008276936
315,0.02167719,0.008193827
316,0.021552814,0.008158496
317,0.02152259,0.008159366
318,0.021980444,0.008225482
319,0.021544572,0.008110711
320,0.021567063,0.008089445
321,0.021374842,0.008045716
322,0.021585636,0.008133557
323,0.021585023,0.008098138
324,0.021601064,0.008052316
325,0.021352084,0.008146747
326,0.021175861,0.008075687
327,0.021105226,0.008055137
328,0.021204427,0.007970027
329,0.020991918,0.007993724
330,0.020950954,0.007956496
331,0.021518413,0.008045569
332,0.021084588,0.007982822
333,0.020967418,0.007964675
334,0.021178653,0.008034916
335,0.020685818,0.008039897
336,0.020927291,0.007914609
337,0.021110393,0.007963098
338,0.02101214,0.007988167
339,0.020779043,0.007852986
340,0.020970931,0.007988141
341,0.021170074,0.00790764
342,0.020706646,0.007883389
343,0.020534115,0.007916304
344,0.021752248,0.007981378
345,0.021137364,0.007969498
346,0.020847881,0.007860597
347,0.021140682,0.007914647
348,0.020627564,0.007887893
349,0.021359632,0.007904758
350,0.02109556,0.00787085
351,0.02157347,0.007944602
352,0.021174923,0.007928942
353,0.021219112,0.007887183
354,0.021115517,0.00785067
355,0.021912854,0.007881528
356,0.021637065,0.00784086
357,0.021404283,0.007938169
358,0.021602014,0.00790996
359,0.021279285,0.007853217
360,0.020749284,0.007820394
361,0.021383952,0.007817508
362,0.021544509,0.007835837
363,0.021521881,0.007854985
364,0.021305308,0.007805503
365,0.021576101,0.007847284
366,0.021179229,0.007829936
367,0.021192497,0.007798289
368,0.021048037,0.007763881
369,0.021123238,0.007789298
370,0.020949045,0.007768468
371,0.020926734,0.007779955
372,0.02086909,0.007769946
373,0.020536223,0.007804366
374,0.02079466,0.007725901
375,0.020645233,0.00775388
376,0.020730369,0.007749206
377,0.02052416,0.00775916
378,0.020292837,0.007724135
379,0.020369422,0.00771931
380,0.02013528,0.007740678
381,0.020649862,0.007780287
382,0.019614898,0.007745404
383,0.01990268,0.007705716
384,0.020232327,0.007692154
385,0.020119414,0.007691396
386,0.02003176,0.007753104
387,0.019700384,0.007686531
388,0.019513058,0.007662436
389,0.019708622,0.007638943
390,0.019157382,0.007656217
391,0.01941722,0.007655937
392,0.019200148,0.007629882
393,0.018959053,0.007652331
394,0.018998204,0.007681635
395,0.019359114,0.00764887
396,0.018957095,0.007610078
397,0.018804222,0.007635788
398,0.018606985,0.007593445
399,0.01878523,0.007660304
400,0.018541597,0.007562258
401,0.018252049,0.007613327
402,0.018318705,0.007602244
403,0.018164385,0.007603447
404,0.018175626,0.007610303
405,0.018118067,0.007578973
406,0.018147575,0.007674106
407,0.018207854,0.007612902
408,0.017970813,0.007626719
409,0.017722307,0.007581146
410,0.01796438,0.007557121
411,0.017641097,0.007558764
412,0.017663665,0.007575999
413,0.017561171,0.007510803
414,0.017973563,0.007557197
415,0.017402872,0.007520304
416,0.017392479,0.007557554
417,0.017392384,0.007525783
418,0.017490976,0.007568873
419,0.017073812,0.007492775
420,0.017305188,0.007583222
421,0.01693506,0.007580892
422,0.016689332,0.007427305
423,0.016900852,0.007573512
424,0.016457183,0.007522013
425,0.01672614,0.007558764
426,0.016653515,0.007478123
427,0.016485127,0.007454183
428,0.016404822,0.007479786
429,0.016634272,0.007502773
430,0.016508978,0.007502889
431,0.016286278,0.00749913
432,0.016009092,0.007513945
433,0.016442088,0.007479301
434,0.01582985,0.007446715
435,0.016159715,0.007467868
436,0.016254181,0.007513907
437,0.016049083,0.007476273
438,0.015698474,0.00747327
439,0.015926378,0.00748436
440,0.01597507,0.007457295
441,0.01559967,0.007486478
442,0.015385866,0.007467759
443,0.015418155,0.007425389
444,0.015635056,0.007447244
445,0.015276278,0.007462661
446,0.015481512,0.007460728
447,0.015305781,0.007511208
448,0.015265449,0.007476683
449,0.015182906,0.007426439
450,0.015011003,0.007434738
451,0.015214453,0.007437981
452,0.015048924,0.00746092
453,0.014707838,0.007424576
454,0.015069946,0.007432237
455,0.014760044,0.007353968
456,0.014764371,0.007406897
457,0.015025696,0.00739729
458,0.014675527,0.007450486
459,0.01456643,0.0074127
460,0.014798855,0.007402149
461,0.014612557,0.007375282
462,0.014518252,0.007326689
463,0.014504821,0.007407214
464,0.014347989,0.00739107
465,0.014394512,0.007314399
466,0.014532567,0.007404591
467,0.01433531,0.00744258
468,0.01427974,0.007346377
469,0.014391153,0.007306703
470,0.014415191,0.007331643
471,0.014147201,0.007381517
472,0.014166457,0.007349306
473,0.014428541,0.007390807
